ID,Date,Opponent,Is_Home_or_Away,Is_Opponent_in_AP25 _Preseason,Media,Label
1,9/5/2015,Texas,Home,Out,1-NBC,1
2,9/12/2015,Virginia,Away,Out,4-ABC,1
3,9/19/2015,Georgia Tech,Home,In,1-NBC,1
4,9/26/2015,UMass,Home,Out,1-NBC,1
5,10/3/2015,Clemson,Away,In,4-ABC,0
6,10/10/2015,Navy,Home,Out,1-NBC,1
7,10/17/2015,USC,Home,In,1-NBC,1
8,10/31/2015,Temple,Away,Out,4-ABC,1
9,11/7/2015,PITT,Away,Out,4-ABC,1
10,11/14/2015,Wake Forest,Home,Out,1-NBC,1
11,11/21/2015,Boston College,Away,Out,1-NBC,1
12,11/28/2015,Stanford,Away,In,3-FOX,0
13,9/4/2016,Texas,Away,Out,4-ABC,0
14,9/10/2016,Nevada,Home,Out,1-NBC,1
15,9/17/2016,Michigan State,Home,Out,1-NBC,0
16,9/24/2016,Duke,Home,Out,1-NBC,0
17,10/1/2016,Syracuse,Home,Out,2-ESPN,1
18,10/8/2016,North Carolina State,Away,Out,4-ABC,0
19,10/15/2016,Stanford,Home,In,1-NBC,0
20,10/29/2016,Miami Florida,Home,Out,1-NBC,1
21,11/5/2016,Navy,Home,Out,5-CBS,0
22,11/12/2016,Army,Home,Out,1-NBC,1
23,11/19/2016,Virginia Tech,Home,In,1-NBC,0
24,11/26/2016,USC,Away,In,4-ABC,0
